SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,9 Cedar Ln,Chappaqua,NY,10514,675000,4,2.5,Chappaqua,2141,54885,1951,2,Garage,3,Active,,,,,675000,,,http://www.redfin.com/NY/Chappaqua/9-Cedar-Ln-10514/home/20092638,"Hudson Gateway Multiple Listing Service, Inc.",4632970,"William Raveis-New York, LLC",N,Y,41.1855819,-73.774265,false
MLS Listing,Single Family Residential,1 Pond Hill Rd,Chappaqua,NY,10514,799000,3,3,Chappaqua,1580,37274,1951,2,Garage,3,Active,,,,,799000,2012-09-19,625000,http://www.redfin.com/NY/Chappaqua/1-Pond-Hill-Rd-10514/home/20089584,"Hudson Gateway Multiple Listing Service, Inc.",4632836,Douglas Elliman Real Estate,N,Y,41.165355,-73.783359,false
MLS Listing,Single Family Residential,8 Hunting Ridge Pl,Chappaqua,NY,10514,1180000,4,3.5,Chappaqua,4483,101494,1956,2,Garage,4,Active,,,,,1180000,,,http://www.redfin.com/NY/Chappaqua/8-Hunting-Ridge-Pl-10514/home/20092365,"Hudson Gateway Multiple Listing Service, Inc.",4632580,Houlihan Lawrence Inc.,N,Y,41.177824,-73.764721,false
MLS Listing,Single Family Residential,1272 Hardscrabble Rd,Chappaqua,NY,10514,1995000,4,5,Chappaqua,4560,123226,1867,2,Garage,5,Active,,,,,1995000,,,http://www.redfin.com/NY/Chappaqua/1272-Hardscrabble-Rd-10514/home/20092632,"Hudson Gateway Multiple Listing Service, Inc.",4625670,"William Raveis-New York, LLC",N,Y,41.18653,-73.78554,false
MLS Listing,Single Family Residential,79 Prospect Dr,Chappaqua,NY,10514,1149000,5,3.5,Chappaqua,3117,17031,1925,1,Garage,7,Active,,,,,1149000,,,http://www.redfin.com/NY/Chappaqua/79-Prospect-Dr-10514/home/20085865,"Hudson Gateway Multiple Listing Service, Inc.",4626912,"William Raveis-New York, LLC",N,Y,41.158752,-73.768768,false
MLS Listing,Single Family Residential,252 Quaker Rd,Chappaqua,NY,10514,849000,3,2.5,Chappaqua,1712,14035,1923,1,Garage,12,Active,,,,,849000,2011-01-03,690000,http://www.redfin.com/NY/Chappaqua/252-Quaker-Rd-10514/home/20087274,"Hudson Gateway Multiple Listing Service, Inc.",4630161,Douglas Elliman Real Estate,N,Y,41.162467,-73.77682,false
MLS Listing,Single Family Residential,90 Orchard Ridge Rd,Chappaqua,NY,10514,765000,4,2.5,Chappaqua,1672,9147,1928,1,Garage,12,Active,,,,,765000,2007-05-01,785000,http://www.redfin.com/NY/Chappaqua/90-Orchard-Ridge-Rd-10514/home/20089393,"Hudson Gateway Multiple Listing Service, Inc.",4631879,"William Raveis-New York, LLC",N,Y,41.163451,-73.766326,false
MLS Listing,Single Family Residential,763 Hardscrabble Rd,Chappaqua,NY,10514,1049000,4,3.5,Chappaqua,3963,194634,1972,2,Garage,12,Active,,,,,1049000,2011-12-05,908200,http://www.redfin.com/NY/Chappaqua/763-Hardscrabble-Rd-10514/home/20101139,"Hudson Gateway Multiple Listing Service, Inc.",4631455,"William Raveis-New York, LLC",N,Y,41.157809,-73.793514,false
MLS Listing,Single Family Residential,11 Boulder Trl,Chappaqua,NY,10514,1899000,5,4.5,Chappaqua,6495,40510,1995,3,Garage,13,Active,,,,,1899000,2007-01-05,2050000,http://www.redfin.com/NY/Chappaqua/11-Boulder-Trl-10514/home/20101573,"Hudson Gateway Multiple Listing Service, Inc.",4631444,"William Raveis-New York, LLC",N,Y,41.153412,-73.799693,false
MLS Listing,Condo/Coop,161 Birchwood Close,Chappaqua,NY,10514,340000,1,1,Chappaqua,860,34,1987,1,Garage,14,Active,,,,,340000,2014-01-23,290000,http://www.redfin.com/NY/Chappaqua/161-Birchwood-Close-10514/home/20089001,"Hudson Gateway Multiple Listing Service, Inc.",4631542,Coldwell Banker Res Brokerage,N,Y,41.150161,-73.765635,false
